Date,Actual_IHSG,Hybrid_Multivariate,Hybrid_Univariate,Single_LSTM,Error_Hybrid_Multi,Error_Hybrid_Uni
2024-06-27,6967.951171875,6921.744609832764,6906.94087600708,6783.185578409655,46.20656204223633,61.01029586791992
2024-06-28,7063.5771484375,6923.217593193054,6909.463901519775,6799.735152146299,140.3595552444458,154.1132469177246
2024-07-01,7139.6259765625,6925.888617992401,6914.460032463074,6821.453127158209,213.73735857009888,225.16594409942627
2024-07-02,7125.14208984375,6930.062654972076,6922.285522937775,6854.99972659511,195.07943487167358,202.85656690597534
2024-07-03,7196.7548828125,6935.31461763382,6931.948440074921,6898.805557629021,261.4402651786804,264.80644273757935
2024-07-04,7220.88916015625,6941.14688205719,6943.160387992859,6939.921473951443,279.74227809906006,277.7287721633911
2024-07-05,7253.3720703125,6947.618724822998,6955.572523117065,6984.382401147726,305.75334548950195,297.79954719543457
2024-07-08,7250.97705078125,6954.400218963623,6968.747863769531,7030.415086140085,296.57683181762695,282.22918701171875
2024-07-09,7269.80078125,6961.194194793701,6981.992618560791,7075.2865717976965,308.6065864562988,287.808162689209
2024-07-10,7287.0419921875,6967.6835861206055,6994.885612487793,7116.221331564026,319.35840606689453,292.15637969970703
2024-07-11,7300.4072265625,6973.836421966553,7007.252113342285,7149.690360047403,326.57080459594727,293.15511322021484
2024-07-12,7327.580078125,6979.601608276367,7018.954277038574,7178.134304322084,347.9784698486328,308.6258010864258
2024-07-15,7278.86279296875,6985.022045135498,7030.083160400391,7206.345062742577,293.84074783325195,248.77963256835938
2024-07-16,7224.29296875,6989.824352264404,7039.8815994262695,7235.993721764957,234.4686164855957,184.41136932373047
2024-07-17,7224.2177734375,6993.356468200684,7047.387107849121,7256.266464773886,230.8613052368164,176.8306655883789
2024-07-18,7321.07080078125,6995.587196350098,7052.657981872559,7261.069478478443,325.48360443115234,268.4128189086914
2024-07-19,7294.4951171875,6997.430084228516,7057.34504699707,7257.160186217065,297.0650329589844,237.1500701904297
2024-07-22,7321.97607421875,6999.3607177734375,7061.650314331055,7258.019142629244,322.6153564453125,260.3257598876953
2024-07-23,7313.85693359375,7001.166748046875,7065.751434326172,7252.518226839791,312.690185546875,248.10549926757812
2024-07-24,7262.7587890625,7002.940803527832,7069.602157592773,7248.277602548274,259.81798553466797,193.15663146972656
2024-07-25,7240.27685546875,7004.241409301758,7072.4393310546875,7244.991242883174,236.0354461669922,167.8375244140625
